MIP,PACSH,ACI / Ref,Systems,Category,Status,Description,
MIP-3021,PACSH-103645-ACI,03753974,RPH,,U,"# 03753974 -RPH UAT Transactions not routing to BTRLORPRQ, BTRHIRPRQ and STP_HOLDQ",
MIP-3023,PACSH-97177-ACI,03757095,RITS,,,#03757095-User is not allowed to create RITS,
MIP-3024,PACSH-97368-ACI,03744190,RTPS,,,#03744190-RTPS # 10166-Outbound MX,
MIP-3022,PACSH-102578-ACI,03752049,RTPS,,,# 03752049-RTPS # 101660-Outbound - Tranche value under Local Instrument Data element is defaulted to 2 by RTPS,
MIP-3025,PACSH-96956-ACI,03757483,,,,# 03757483-Outbound MT payment received with BSB code under TAG 57.,
MIP-3019,PACSH-100050-ACI,03747933,"CHAPS, RTPS",,,# 03747933-RTPS # 102313-CHAPS RTN Outbound PACS004 MX message,
MIP-3018,PACSH-101227-ACI,0375022,RTPS,,,# 0375022-RTPS # 102311[ENT ISO GBM - All Markets],
MIP-3020,PACSH-103646-ACI,03753572,CHIPS,,,# 03753572-* [ENT ISO - CHIPS],
MIP-2953,PACSH-101086,3750220,"CBPR+, CHAPS, LYNX",,,[ENT ISO GBM - All Markets] [ACI # 3750220] ULTB & ULTD in URI of CBPR+MX is mapped to Ultimate Debtor and Ultimate Creditor in CHAPS & LYNX MX but address line with 'NOT PROVIDED' missing.,
MIP-2956,PACSH-101496,03750295,CHAPS,,,"[ENT ISO - CHAPS] ACI# 03750295 CHAPS Outbound MT103 processed with CLSTIME , TILLTIME & REJTIME are routed to EXCQ with exception CLSTIME/REJTIME/TILTIME was found, but with an unknown format",
MIP-2958,PACSH-100655-Katheeja,03748414,RITS,,,* ACI Ticket 03748414 for RITS To load all BSB automatically in AUX  [ETA - revert by mail on SSB findings 25/08 EOD and also the SME Call on solution is needed],
MIP-2959,PACSH-101232-Sai,03749990,BIS,,,* ACI Ticket 03749990 : (GBM)BIS1_SND line not trigerring to generate Exception NAK for transactions dropped to BIS_EXCQ,
MIP-2960,PACSH-100897-Sai,03749658,"MTS, TARGET2",,,* ACI Ticket 03749658 : CreditPaymenttext tag and data not send in the FIRCO RFML request xml of the TARGET2 Camt.050 BA message in GBM-UAT Env. [ETA - SSB to provide MTS logs and ACI team to check with app-team and revert by 26/08],
MIP-2897,PACSH-95801,,"IBS, RTPS",[Working Session],,ACI - Solution IBS CAN short NAK to generate Negative Acknowledgements with required payment & error info in RTPS for Manually Cancelled Payments,
MIP-2931,PACSH-84210-Solution,,IBS,,,IBS CAN short NAK - ACI CASE 3735175 GBM Enterprise ISO : IBS NAK equivalent processing in ENTERPRISEISO model (Bank-Adapter Flow) [move to Sprint 11],
MIP-2933,PACSH-98280,,TARGET2,[Working Session],,[placeholder] ACI - TARGET2 END-END Validations - part 2 [for any addtnl. Validations],
MIP-2933,PACSH-98280,,TARGET2,BAS BA Line,U,[Working Session] [placeholder] ACI - TARGET2 END-END Validations - part 2 [for any addtnl. Validations],
MIP-2952,PACSH-79853,,TW,,,TW END-END Validations [one STP & one non-STP flow],
